fly,trial,genotype,ND,Screened?,keep,Notes
118,857,DIPY Control,5,Y,N,MAY HAVE BEEN F2
118,858,DIPY Control,4,Y,N,MAY HAVE BEEN F2
118,859,DIPY Control,3,Y,N,MAY HAVE BEEN F2
118,860,DIPY Control,2,Y,N,MAY HAVE BEEN F2
118,861,DIPY Control,1,Y,N,MAY HAVE BEEN F2
118,862,DIPY Control,0,Y,N,MAY HAVE BEEN F2
119,863,PRDIPY,5,Y,N,MAY HAVE BEEN F2
119,864,PRDIPY,4,Y,N,MAY HAVE BEEN F2
119,865,PRDIPY,3,Y,N,MAY HAVE BEEN F2
119,866,PRDIPY,2,Y,N,MAY HAVE BEEN F2
119,867,PRDIPY,1,Y,N,MAY HAVE BEEN F2
119,868,PRDIPY,0,Y,N,MAY HAVE BEEN F2
120,,DIPY Control,,Y,N,FLY DEATH. MAY HAVE BEEN F2
120,871,PRDIPY,5,Y,N,MAY HAVE BEEN F2
120,872,PRDIPY,4,Y,N,MAY HAVE BEEN F2
120,873,PRDIPY,3,Y,N,MAY HAVE BEEN F2
120,874,PRDIPY,2,Y,N,MAY HAVE BEEN F2
120,875,PRDIPY,1,Y,N,MAY HAVE BEEN F2
120,876,PRDIPY,0,Y,N,MAY HAVE BEEN F2
121,877,DIPY Control,5,Y,N,MAY HAVE BEEN F2
121,878,DIPY Control,5,Y,N,MAY HAVE BEEN F2
121,879,DIPY Control,4,Y,N,MAY HAVE BEEN F2
121,880,DIPY Control,3,Y,N,MAY HAVE BEEN F2
121,881,DIPY Control,2,Y,N,MAY HAVE BEEN F2
121,882,DIPY Control,1,Y,N,MAY HAVE BEEN F2
121,883,DIPY Control,0,Y,N,MAY HAVE BEEN F2
122,884,PR Control,5,Y,N,MAY HAVE BEEN F2
122,885,PR Control,4,Y,N,MAY HAVE BEEN F2
122,886,PR Control,3,Y,N,MAY HAVE BEEN F2
122,887,PR Control,2,Y,N,MAY HAVE BEEN F2
122,888,PR Control,1,Y,N,MAY HAVE BEEN F2
122,889,PR Control,0,Y,N,MAY HAVE BEEN F2
123,890,PRDIPY,5,Y,N,MAY HAVE BEEN F2
123,891,PRDIPY,4,Y,N,MAY HAVE BEEN F2
123,892,PRDIPY,3,Y,N,MAY HAVE BEEN F2
123,893,PRDIPY,2,Y,N,MAY HAVE BEEN F2
123,894,PRDIPY,1,Y,N,MAY HAVE BEEN F2
123,895,PRDIPY,0,Y,N,MAY HAVE BEEN F2
124,896,DIPY Control,5,Y,N,MAY HAVE BEEN F2
124,897,DIPY Control,4,Y,N,MAY HAVE BEEN F2
124,898,DIPY Control,3,Y,N,MAY HAVE BEEN F2
124,899,DIPY Control,2,Y,N,MAY HAVE BEEN F2
124,900,DIPY Control,1,Y,N,MAY HAVE BEEN F2
124,901,DIPY Control,0,Y,N,MAY HAVE BEEN F2
124,902,DIPY Control,0,Y,N,MAY HAVE BEEN F2
125,903,PRDIPY,5,Y,N,MAY HAVE BEEN F2
125,904,PRDIPY,4,Y,N,MAY HAVE BEEN F2
125,905,PRDIPY,3,Y,N,MAY HAVE BEEN F2
125,906,PRDIPY,2,Y,N,MAY HAVE BEEN F2
125,907,PRDIPY,1,Y,N,MAY HAVE BEEN F2
125,908,PRDIPY,0,Y,N,MAY HAVE BEEN F2
126,909,DIPY Control,5,Y,N,MAY HAVE BEEN F2
126,910,DIPY Control,4,Y,N,MAY HAVE BEEN F2
126,911,DIPY Control,3,Y,N,MAY HAVE BEEN F2
126,912,DIPY Control,2,Y,N,MAY HAVE BEEN F2
126,913,DIPY Control,1,Y,N,MAY HAVE BEEN F2
126,914,DIPY Control,0,Y,N,MAY HAVE BEEN F2
127,915,DIPY Control,5,Y,N,MAY HAVE BEEN F2
127,916,DIPY Control,4,Y,N,MAY HAVE BEEN F2
127,917,DIPY Control,3,Y,N,MAY HAVE BEEN F2
127,918,DIPY Control,2,Y,N,MAY HAVE BEEN F2
127,919,DIPY Control,1,Y,N,MAY HAVE BEEN F2
127,920,DIPY Control,0,Y,N,MAY HAVE BEEN F2
128,921,PR Control,5,Y,N,MAY HAVE BEEN F2
128,922,PR Control,5,Y,N,"MAY HAVE BEEN F2, FLY DEATH."
129,923,DIPY Control,5,Y,N,MAY HAVE BEEN F2
129,924,DIPY Control,4,Y,N,MAY HAVE BEEN F2
129,925,DIPY Control,3,Y,N,MAY HAVE BEEN F2
129,926,DIPY Control,2,Y,N,MAY HAVE BEEN F2
129,927,DIPY Control,1,Y,N,MAY HAVE BEEN F2
129,928,DIPY Control,0,Y,N,MAY HAVE BEEN F2
130,929,DIPY Control,5,Y,N,"MAY HAVE BEEN F2, FLY DEATH."
131,930,DIPY Control,5,Y,N,MAY HAVE BEEN F2
131,931,DIPY Control,4,Y,N,MAY HAVE BEEN F2
131,932,DIPY Control,3,Y,N,MAY HAVE BEEN F2
131,933,DIPY Control,2,Y,N,MAY HAVE BEEN F2
131,934,DIPY Control,1,Y,N,MAY HAVE BEEN F2
131,935,DIPY Control,0,Y,N,MAY HAVE BEEN F2
132,936,PR Control,5,Y,N,MAY HAVE BEEN F2
132,937,PR Control,4,Y,N,"MAY HAVE BEEN F2, NOISY-ELECTRODE ADJUSTMENT PERFORMED"
132,938,PR Control,3,Y,N,"MAY HAVE BEEN F2, ELECTRODE DISPLACEMENT"
132,939,PR Control,2,Y,N,"MAY HAVE BEEN F2, ISSUE RESOLVED"
132,940,PR Control,1,Y,N,MAY HAVE BEEN F2
132,941,PR Control,0,Y,N,MAY HAVE BEEN F2
133,942,PRDIPY,5,Y,N,MAY HAVE BEEN F2
133,943,PRDIPY,4,Y,N,MAY HAVE BEEN F2
133,944,PRDIPY,3,Y,N,MAY HAVE BEEN F2
133,945,PRDIPY,2,Y,N,MAY HAVE BEEN F2
133,946,PRDIPY,1,Y,N,MAY HAVE BEEN F2
133,947,PRDIPY,0,Y,N,MAY HAVE BEEN F2
134,948,PRDIPY,5,Y,N,"MAY HAVE BEEN F2, FLY DEATH."
135,949,DIPY Control,5,Y,N,MAY HAVE BEEN F2
135,950,DIPY Control,5,Y,N,MAY HAVE BEEN F2
135,951,DIPY Control,4,Y,N,MAY HAVE BEEN F2
135,952,DIPY Control,3,Y,N,MAY HAVE BEEN F2
135,953,DIPY Control,2,Y,N,MAY HAVE BEEN F2
135,954,DIPY Control,1,Y,N,MAY HAVE BEEN F2
135,955,DIPY Control,0,Y,N,MAY HAVE BEEN F2
136,956,PR Control,5,Y,N,MAY HAVE BEEN F2
136,957,PR Control,4,Y,N,MAY HAVE BEEN F2
136,958,PR Control,3,Y,N,MAY HAVE BEEN F2
136,959,PR Control,2,Y,N,MAY HAVE BEEN F2
136,960,PR Control,1,Y,N,MAY HAVE BEEN F2
136,961,PR Control,0,Y,N,MAY HAVE BEEN F2
137,962,PRDIPY,5,Y,N,MAY HAVE BEEN F2
137,963,PRDIPY,4,Y,N,MAY HAVE BEEN F2
137,964,PRDIPY,3,Y,N,MAY HAVE BEEN F2
137,965,PRDIPY,2,Y,N,MAY HAVE BEEN F2
137,966,PRDIPY,1,Y,N,MAY HAVE BEEN F2
137,967,PRDIPY,0,Y,N,MAY HAVE BEEN F2
138,968,DIPY Control,5,Y,N,MAY HAVE BEEN F2
138,969,DIPY Control,4,Y,N,MAY HAVE BEEN F2
138,970,DIPY Control,3,Y,N,MAY HAVE BEEN F2
138,971,DIPY Control,2,Y,N,MAY HAVE BEEN F2
138,972,DIPY Control,1,Y,N,MAY HAVE BEEN F2
138,973,DIPY Control,0,Y,N,MAY HAVE BEEN F2
138,974,PR Control,5,Y,N,"MAY HAVE BEEN F2, MISLABLED(#139)"
139,975,PR Control,5,Y,N,MAY HAVE BEEN F2
139,976,PR Control,4,Y,N,MAY HAVE BEEN F2
139,977,PR Control,3,Y,N,MAY HAVE BEEN F2
139,978,PR Control,2,Y,N,MAY HAVE BEEN F2
139,979,PR Control,1,Y,N,MAY HAVE BEEN F2
139,980,PR Control,0,Y,N,MAY HAVE BEEN F2
140,981,PRDIPY,5,Y,N,MAY HAVE BEEN F2
140,982,PRDIPY,5,Y,N,"MAY HAVE BEEN F2, FLY DEATH."
141,983,PRDIPY,5,Y,N,"MAY HAVE BEEN F2, FLY DEATH."
142,984,DIPY Control,5,Y,N,"MAY HAVE BEEN F2, SICK FLY DRIFTING"
142,985,DIPY Control,5,Y,N,"MAY HAVE BEEN F2, SICK FLY DRIFTING"
142,986,DIPY Control,5,Y,N,"MAY HAVE BEEN F2, SICK FLY DRIFTING"
142,987,DIPY Control,4,Y,N,MAY HAVE BEEN F2
142,988,DIPY Control,3,Y,N,MAY HAVE BEEN F2
142,989,DIPY Control,2,Y,N,MAY HAVE BEEN F2
142,990,DIPY Control,1,Y,N,MAY HAVE BEEN F2
142,991,DIPY Control,0,Y,N,MAY HAVE BEEN F2
142,992,DIPY Control,0,Y,N,MAY HAVE BEEN F2
143,993,PRDIPY,5,Y,N,"MAY HAVE BEEN F2, DRIFTING DOWNWARDS"
143,994,PRDIPY,5,Y,N,"MAY HAVE BEEN F2, DRIFTING DOWNWARDS"
143,995,PRDIPY,4,Y,N,MAY HAVE BEEN F2
143,996,PRDIPY,3,Y,N,MAY HAVE BEEN F2
143,997,PRDIPY,2,Y,N,MAY HAVE BEEN F2
143,998,PRDIPY,1,Y,N,MAY HAVE BEEN F2
143,999,PRDIPY,0,Y,N,MAY HAVE BEEN F2
144,1000,DIPY Control,5,Y,N,MAY HAVE BEEN F2
144,1001,DIPY Control,4,Y,N,MAY HAVE BEEN F2
144,1002,DIPY Control,3,Y,N,MAY HAVE BEEN F2
144,1003,DIPY Control,2,Y,N,MAY HAVE BEEN F2
144,1004,DIPY Control,1,Y,N,MAY HAVE BEEN F2
144,1005,DIPY Control,0,Y,N,MAY HAVE BEEN F2
145,1006,DIPY Control,5,Y,N,"MAY HAVE BEEN F2, SLIGHT UPWARD DRIFTING"
145,1007,DIPY Control,4,Y,N,"MAY HAVE BEEN F2, SLIGHT UPWARD DRIFTING"
145,1008,DIPY Control,3,Y,N,"MAY HAVE BEEN F2, SLIGHT UPWARD DRIFTING"
145,1009,DIPY Control,2,Y,N,MAY HAVE BEEN F2
145,1010,DIPY Control,1,Y,N,MAY HAVE BEEN F2
145,1011,DIPY Control,0,Y,N,MAY HAVE BEEN F2
146,1012,PR Control,5,Y,N,MAY HAVE BEEN F2
146,1013,PR Control,4,Y,N,MAY HAVE BEEN F2
146,1014,PR Control,3,Y,N,MAY HAVE BEEN F2
146,1015,PR Control,2,Y,N,MAY HAVE BEEN F2
146,1016,PR Control,1,Y,N,MAY HAVE BEEN F2
146,1017,PR Control,0,Y,N,MAY HAVE BEEN F2
147,1018,DIPY Control,5,Y,Y,NO MORE F2 RISK
147,1019,DIPY Control,4,Y,Y,
147,1020,DIPY Control,3,Y,Y,
147,1021,DIPY Control,2,Y,Y,
147,1022,DIPY Control,1,Y,Y,
147,1023,DIPY Control,0,Y,Y,
148,1024,PR Control,5,Y,Y,NOISY. 
148,1025,PR Control,4,Y,Y,NOISY. 
148,1026,PR Control,3,Y,Y,NOISY. 
148,1027,PR Control,3,Y,Y,NOISY. 
148,1028,PR Control,2,Y,Y,NOISY. 
148,1029,PR Control,1,Y,Y,NOISY. 
148,1030,PR Control,0,Y,Y,NOISY. 
140,1031,PRDIPY,5,Y,Y,MISLABELED (149)
149,1032,PRDIPY,4,Y,Y,
149,1033,PRDIPY,3,Y,Y,
149,1034,PRDIPY,2,Y,Y,
149,1035,PRDIPY,1,Y,Y,
149,1036,PRDIPY,0,Y,Y,
150,1037,DIPY Control,5,Y,Y,
150,1038,DIPY Control,5,Y,Y,
150,1039,DIPY Control,4,Y,Y,
150,1040,DIPY Control,3,Y,Y,
150,1041,DIPY Control,2,Y,Y,
150,1042,DIPY Control,1,Y,Y,
150,1043,DIPY Control,0,Y,Y,
151,1044,PR Control,5,Y,N,FLY DEATH.
152,1045,PR Control,5,Y,Y,
152,1046,PR Control,4,Y,Y,
152,1047,PR Control,3,Y,Y,
152,1048,PR Control,2,Y,Y,
152,1049,PR Control,1,Y,Y,
152,1050,PR Control,0,Y,Y,
153,1051,PRDIPY,5,Y,Y,NOT CLEAN
153,1052,PRDIPY,5,Y,Y,NOT CLEAN
153,1053,PRDIPY,4,Y,Y,GOOD
153,1054,PRDIPY,3,Y,Y,GOOD
153,1055,PRDIPY,2,Y,Y,GOOD
153,1056,PRDIPY,1,Y,Y,GOOD
153,1057,PRDIPY,0,Y,Y,GOOD
154,1058,DIPY Control,5,Y,N,FLY DEATH.
155,1059,DIPY Control,5,Y,Y,
155,1060,DIPY Control,4,Y,Y,
155,1061,DIPY Control,3,Y,Y,
155,1062,DIPY Control,2,Y,Y,
155,1063,DIPY Control,1,Y,Y,
155,1064,DIPY Control,0,Y,Y,
156,1065,PR Control,5,Y,N,FLY DEATH.
,,,,Y,Y,